id,pop ,motu,rep,time,temp,surv,surv_perc,deaths,death_perc
1,16,G,1,0,22,15,1.00,0,0.00
2,16,G,1,24,25,15,1.00,0,0.00
3,16,G,1,48,28,15,1.00,0,0.00
4,16,G,1,72,31,6,0.40,9,0.60
5,16,G,1,96,34,1,0.07,14,0.93
6,16,G,2,0,22,15,1.00,0,0.00
7,16,G,2,24,25,14,0.93,1,0.07
8,16,G,2,48,28,14,0.93,1,0.07
9,16,G,2,72,31,13,0.87,2,0.13
10,16,G,2,96,34,0,0.00,15,1.00
11,16,G,3,0,22,15,1.00,0,0.00
12,16,G,3,24,25,14,0.93,1,0.07
13,16,G,3,48,28,14,0.93,1,0.07
14,16,G,3,72,31,13,0.87,2,0.13
15,16,G,3,96,34,0,0.00,15,1.00
16,17,G,1,0,22,15,1.00,0,0.00
17,17,G,1,24,25,15,1.00,0,0.00
18,17,G,1,48,28,14,0.93,1,0.07
19,17,G,1,72,31,5,0.33,10,0.67
20,17,G,1,96,34,0,0.00,15,1.00
21,17,G,2,0,22,15,1.00,0,0.00
22,17,G,2,24,25,15,1.00,0,0.00
23,17,G,2,48,28,15,1.00,0,0.00
24,17,G,2,72,31,14,0.93,1,0.07
25,17,G,2,96,34,0,0.00,15,1.00
26,17,G,3,0,22,15,1.00,0,0.00
27,17,G,3,24,25,15,1.00,0,0.00
28,17,G,3,48,28,15,1.00,0,0.00
29,17,G,3,72,31,14,0.93,1,0.07
30,17,G,3,96,34,0,0.00,15,1.00
31,19,G,1,0,22,15,1.00,0,0.00
32,19,G,1,24,25,15,1.00,0,0.00
33,19,G,1,48,28,13,0.87,2,0.13
34,19,G,1,72,31,6,0.40,9,0.60
35,19,G,1,96,34,0,0.00,15,1.00
36,19,G,2,0,22,15,1.00,0,0.00
37,19,G,2,24,25,15,1.00,0,0.00
38,19,G,2,48,28,14,0.93,1,0.07
39,19,G,2,72,31,14,0.93,1,0.07
40,19,G,2,96,34,1,0.07,14,0.93
41,19,G,3,0,22,15,1.00,0,0.00
42,19,G,3,24,25,15,1.00,0,0.00
43,19,G,3,48,28,14,0.93,1,0.07
44,19,G,3,72,31,14,0.93,1,0.07
45,19,G,3,96,34,1,0.07,14,0.93
46,22,A,1,0,22,15,1.00,0,0.00
47,22,A,1,24,25,14,0.93,1,0.07
48,22,A,1,48,28,14,0.93,1,0.07
49,22,A,1,72,31,4,0.27,11,0.73
50,22,A,1,96,34,0,0.00,15,1.00
51,22,A,2,0,22,15,1.00,0,0.00
52,22,A,2,24,25,14,0.93,1,0.07
53,22,A,2,48,28,13,0.87,2,0.13
54,22,A,2,72,31,12,0.80,3,0.20
55,22,A,2,96,34,2,0.13,13,0.87
56,22,A,3,0,22,15,1.00,0,0.00
57,22,A,3,24,25,14,0.93,1,0.07
58,22,A,3,48,28,13,0.87,2,0.13
59,22,A,3,72,31,12,0.80,3,0.20
60,22,A,3,96,34,2,0.13,13,0.87
61,25,A,1,0,22,15,1.00,0,0.00
62,25,A,1,24,25,14,0.93,1,0.07
63,25,A,1,48,28,13,0.87,2,0.13
64,25,A,1,72,31,11,0.73,4,0.27
65,25,A,1,96,34,0,0.00,15,1.00
66,25,A,2,0,22,15,1.00,0,0.00
67,25,A,2,24,25,15,1.00,0,0.00
68,25,A,2,48,28,15,1.00,0,0.00
69,25,A,2,72,31,14,0.93,1,0.07
70,25,A,2,96,34,0,0.00,15,1.00
71,25,A,3,0,22,15,1.00,0,0.00
72,25,A,3,24,25,15,1.00,0,0.00
73,25,A,3,48,28,15,1.00,0,0.00
74,25,A,3,72,31,14,0.93,1,0.07
75,25,A,3,96,34,0,0.00,15,1.00
76,26,A,1,0,22,15,1.00,0,0.00
77,26,A,1,24,25,14,0.93,1,0.07
78,26,A,1,48,28,14,0.93,1,0.07
79,26,A,1,72,31,4,0.27,11,0.73
