id,pop,motu,rep,run,time,temp,surv,death,surv_perc,death_perc
1,16,G,1,2,0,22,5,0,1,0
2,16,G,1,2,24,25,5,0,1,0
3,16,G,1,2,48,28,5,0,1,0
4,16,G,1,2,72,31,1,4,0.2,0.8
5,16,G,1,2,96,34,0,5,0,1
6,16,G,2,2,0,22,5,0,1,0
7,16,G,2,2,24,25,5,0,1,0
8,16,G,2,2,48,28,5,0,1,0
9,16,G,2,2,72,31,3,2,0.6,0.4
10,16,G,2,2,96,34,0,5,0,1
11,16,G,3,2,0,22,5,0,1,0
12,16,G,3,2,24,25,5,0,1,0
13,16,G,3,2,48,28,5,0,1,0
14,16,G,3,2,72,31,2,3,0.4,0.6
15,16,G,3,2,96,34,1,4,0.2,0.8
16,16,G,1,3,0,22,5,0,1,0
17,16,G,1,3,24,25,4,1,0.8,0.2
18,16,G,1,3,48,28,4,1,0.8,0.2
19,16,G,1,3,72,31,3,2,0.6,0.4
20,16,G,1,3,96,34,0,5,0,1
21,16,G,2,3,0,22,5,0,1,0
22,16,G,2,3,24,25,5,0,1,0
23,16,G,2,3,48,28,5,0,1,0
24,16,G,2,3,72,31,5,0,1,0
25,16,G,2,3,96,34,0,5,0,1
26,16,G,3,3,0,22,5,0,1,0
27,16,G,3,3,24,25,5,0,1,0
28,16,G,3,3,48,28,5,0,1,0
29,16,G,3,3,72,31,5,0,1,0
30,16,G,3,3,96,34,0,5,0,1
31,16,G,1,4,0,22,5,0,1,0
32,16,G,1,4,24,25,5,0,1,0
33,16,G,1,4,48,28,4,1,0.8,0.2
34,16,G,1,4,72,31,3,2,0.6,0.4
35,16,G,1,4,96,34,0,5,0,1
36,16,G,2,4,0,22,5,0,1,0
37,16,G,2,4,24,25,5,0,1,0
38,16,G,2,4,48,28,4,1,0.8,0.2
39,16,G,2,4,72,31,4,1,0.8,0.2
40,16,G,2,4,96,34,0,5,0,1
41,16,G,3,4,0,22,5,0,1,0
42,16,G,3,4,24,25,5,0,1,0
43,16,G,3,4,48,28,5,0,1,0
44,16,G,3,4,72,31,5,0,1,0
45,16,G,3,4,96,34,0,5,0,1
46,17,G,1,2,0,22,5,0,1,0
47,17,G,1,2,24,25,5,0,1,0
48,17,G,1,2,48,28,5,0,1,0
49,17,G,1,2,72,31,2,3,0.4,0.6
50,17,G,1,2,96,34,0,5,0,1
51,17,G,2,2,0,22,5,0,1,0
52,17,G,2,2,24,25,5,0,1,0
53,17,G,2,2,48,28,4,1,0.8,0.2
54,17,G,2,2,72,31,3,2,0.6,0.4
55,17,G,2,2,96,34,0,5,0,1
56,17,G,3,2,0,22,5,0,1,0
57,17,G,3,2,24,25,5,0,1,0
58,17,G,3,2,48,28,5,0,1,0
59,17,G,3,2,72,31,0,5,0,1
60,17,G,3,2,96,34,0,5,0,1
61,17,G,1,3,0,22,5,0,1,0
62,17,G,1,3,24,25,5,0,1,0
63,17,G,1,3,48,28,5,0,1,0
