id,ind,pop,motu,run,rep,time,temp,surv,new_surv
1,1,16,G,2,1,0,22,5,1
2,2,16,G,2,1,0,22,5,1
3,3,16,G,2,1,0,22,5,1
4,4,16,G,2,1,0,22,5,1
5,5,16,G,2,1,0,22,5,1
6,1,16,G,2,1,24,25,5,1
7,2,16,G,2,1,24,25,5,1
8,3,16,G,2,1,24,25,5,1
9,4,16,G,2,1,24,25,5,1
10,5,16,G,2,1,24,25,5,1
11,1,16,G,2,1,48,28,5,1
12,2,16,G,2,1,48,28,5,1
13,3,16,G,2,1,48,28,5,1
14,4,16,G,2,1,48,28,5,1
15,5,16,G,2,1,48,28,5,1
16,1,16,G,2,1,72,31,1,1
17,2,16,G,2,1,72,31,1,0
18,3,16,G,2,1,72,31,1,0
19,4,16,G,2,1,72,31,1,0
20,5,16,G,2,1,72,31,1,0
21,1,16,G,2,1,96,34,0,0
22,2,16,G,2,1,96,34,0,0
23,3,16,G,2,1,96,34,0,0
24,4,16,G,2,1,96,34,0,0
25,5,16,G,2,1,96,34,0,0
26,6,16,G,2,2,0,22,5,1
27,7,16,G,2,2,0,22,5,1
28,8,16,G,2,2,0,22,5,1
29,9,16,G,2,2,0,22,5,1
30,10,16,G,2,2,0,22,5,1
31,6,16,G,2,2,24,25,5,1
32,7,16,G,2,2,24,25,5,1
33,8,16,G,2,2,24,25,5,1
34,9,16,G,2,2,24,25,5,1
35,10,16,G,2,2,24,25,5,1
36,6,16,G,2,2,48,28,5,1
37,7,16,G,2,2,48,28,5,1
38,8,16,G,2,2,48,28,5,1
39,9,16,G,2,2,48,28,5,1
40,10,16,G,2,2,48,28,5,1
41,6,16,G,2,2,72,31,3,1
42,7,16,G,2,2,72,31,3,1
43,8,16,G,2,2,72,31,3,1
44,9,16,G,2,2,72,31,3,0
45,10,16,G,2,2,72,31,3,0
46,6,16,G,2,2,96,34,0,0
47,7,16,G,2,2,96,34,0,0
48,8,16,G,2,2,96,34,0,0
49,9,16,G,2,2,96,34,0,0
50,10,16,G,2,2,96,34,0,0
51,11,16,G,2,3,0,22,5,1
52,12,16,G,2,3,0,22,5,1
53,13,16,G,2,3,0,22,5,1
54,14,16,G,2,3,0,22,5,1
55,15,16,G,2,3,0,22,5,1
56,11,16,G,2,3,24,25,5,1
57,12,16,G,2,3,24,25,5,1
58,13,16,G,2,3,24,25,5,1
59,14,16,G,2,3,24,25,5,1
60,15,16,G,2,3,24,25,5,1
61,11,16,G,2,3,48,28,5,1
